Year,CHOTF,NANTF_DE,NANTF_MD,PAXOH
1985,0,-9.59381,-10.32942,-14.8335
1986,0,-5.5586,-6.02009,-16.11972
1987,-11.01245,-5.5586,-6.02009,-22.2073
1988,-11.01245,-4.58952,-4.58952,-10.9922
1989,-11.01245,-4.58952,-4.58952,-14.68936
1990,0,0,0,-10.8387
1991,0,0,0,-11.43477
1992,0,0,0,-15.05152
1993,0,0,0,-20.65063
1994,-3.48733,-4.58952,-4.58952,-25.79111
1995,-3.56273,-4.58952,-4.58952,-20.32979
1996,-3.56273,-4.58952,-4.58952,-11.59569
1997,-4.76178,-4.58952,-4.58952,-15.76745
1998,-4.67601,-4.58952,-4.58952,-14.83362
1999,-20.39444,-11.01245,-11.01245,-28.24418
2000,-39.58336,-24.99664,-24.99664,-17.9729
2001,-62.26257,-54.63619,-54.63619,-26.36127
2002,-44.27719,-49.81827,-53.04952,-26.78511
2003,-24.99664,-42.4703,-46.82209,-45.91357
2004,-24.71903,-27.42124,-31.72972,-53.22742
2005,-35.75155,-27.7172,-28.76212,-52.97918
2006,-39.08215,-24.99782,-28.04356,-41.52175
2007,-38.87823,-16.45758,-19.48818,-29.43876
2008,-35.05824,-14.68526,-17.45567,-20.74673
2009,-31.95109,-17.88244,-17.88244,-25.4697
2010,-22.17749,-11.01245,-11.01245,-26.02024
2011,-29.4443,-13.25167,-16.10181,-29.98122
2012,-22.17749,-0.25933,-2.73325,-18.17193
2013,-14.87182,-0.25933,-2.73325,-13.14081
2014,-4.83372,-4.58952,-4.58952,-10.21549
